atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,Gamma_C_db,source,construction_guard_s
P01_GAMMA06_M005_00_A00_R04,P01_GAMMA06_M005_00,P01,M005,903.63125,960.859375,57.22812499999998,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M005_00_A01_R00,P01_GAMMA06_M005_00,P01,M005,960.859375,1018.0875,57.22812499999998,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M005_00_A01_R01,P01_GAMMA06_M005_00,P01,M005,1018.0875,1075.315625,57.22812499999998,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M005_00_A01_R02,P01_GAMMA06_M005_00,P01,M005,1075.315625,1132.54375,57.22812500000009,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M005_00_A01_R03,P01_GAMMA06_M005_00,P01,M005,1132.54375,1189.771875,57.228124999999864,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M005_00_A01_R04,P01_GAMMA06_M005_00,P01,M005,1189.771875,1247.0,57.22812500000009,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M006_00_A00_R00,P01_GAMMA06_M006_00,P01,M006,624.125,673.8645833333334,49.73958333333337,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M006_00_A00_R01,P01_GAMMA06_M006_00,P01,M006,673.8645833333334,723.6041666666666,49.73958333333326,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M006_00_A00_R02,P01_GAMMA06_M006_00,P01,M006,723.6041666666666,773.34375,49.73958333333337,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M006_00_A00_R03,P01_GAMMA06_M006_00,P01,M006,773.34375,823.0833333333333,49.73958333333326,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M006_00_A00_R04,P01_GAMMA06_M006_00,P01,M006,823.0833333333333,872.8229166666666,49.73958333333337,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M006_00_A01_R00,P01_GAMMA06_M006_00,P01,M006,872.8229166666666,922.5625,49.73958333333337,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M006_00_A01_R01,P01_GAMMA06_M006_00,P01,M006,922.5625,972.3020833333333,49.73958333333326,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M006_00_A01_R02,P01_GAMMA06_M006_00,P01,M006,972.3020833333333,1022.0416666666666,49.73958333333337,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M006_00_A01_R03,P01_GAMMA06_M006_00,P01,M006,1022.0416666666666,1071.78125,49.73958333333337,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M006_00_A01_R04,P01_GAMMA06_M006_00,P01,M006,1071.78125,1121.5208333333333,49.73958333333326,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M006_00_A02_R00,P01_GAMMA06_M006_00,P01,M006,1121.5208333333333,1171.2604166666665,49.73958333333326,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M006_00_A02_R01,P01_GAMMA06_M006_00,P01,M006,1171.2604166666665,1221.0,49.739583333333485,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M006_00_A02_R02,P01_GAMMA06_M006_00,P01,M006,1221.0,1270.7395833333333,49.73958333333326,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M006_00_A02_R03,P01_GAMMA06_M006_00,P01,M006,1270.7395833333333,1320.4791666666667,49.739583333333485,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M006_00_A02_R04,P01_GAMMA06_M006_00,P01,M006,1320.4791666666667,1370.21875,49.73958333333326,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M007_00_A00_R00,P01_GAMMA06_M007_00,P01,M007,2420.4375,2478.23046875,57.79296875,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M007_00_A00_R01,P01_GAMMA06_M007_00,P01,M007,2478.23046875,2536.0234375,57.79296875,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M007_00_A00_R02,P01_GAMMA06_M007_00,P01,M007,2536.0234375,2593.81640625,57.79296875,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M007_00_A00_R03,P01_GAMMA06_M007_00,P01,M007,2593.81640625,2651.609375,57.79296875,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M007_00_A01_R00,P01_GAMMA06_M007_00,P01,M007,2651.609375,2709.40234375,57.79296875,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M007_00_A01_R01,P01_GAMMA06_M007_00,P01,M007,2709.40234375,2767.1953125,57.79296875,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M007_00_A01_R02,P01_GAMMA06_M007_00,P01,M007,2767.1953125,2824.98828125,57.79296875,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M007_00_A01_R03,P01_GAMMA06_M007_00,P01,M007,2824.98828125,2882.78125,57.79296875,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M008_00_A00_R00,P01_GAMMA06_M008_00,P01,M008,2438.125,2494.7109375,56.5859375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M008_00_A00_R01,P01_GAMMA06_M008_00,P01,M008,2494.7109375,2551.296875,56.5859375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M008_00_A00_R02,P01_GAMMA06_M008_00,P01,M008,2551.296875,2607.8828125,56.5859375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M008_00_A00_R03,P01_GAMMA06_M008_00,P01,M008,2607.8828125,2664.46875,56.5859375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M008_00_A01_R00,P01_GAMMA06_M008_00,P01,M008,2664.46875,2721.0546875,56.5859375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M008_00_A01_R01,P01_GAMMA06_M008_00,P01,M008,2721.0546875,2777.640625,56.5859375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M008_00_A01_R02,P01_GAMMA06_M008_00,P01,M008,2777.640625,2834.2265625,56.5859375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M008_00_A01_R03,P01_GAMMA06_M008_00,P01,M008,2834.2265625,2890.8125,56.5859375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
