atomic_task_id,site_id,preparation_start_s,service_start_s,service_end_s,uav_available_s
P01_GAMMA06_M016_00_A00,E52_96da4f081c74d8211b4b244f,51.620893891714104,668.0654740596533,1291.5967240596533,2028.9649299193243
P01_GAMMA06_M016_00_A00,E52_a3836b1674b2d70f748125c1,219.29403672193814,668.0654740596533,1291.5967240596533,1857.344434997629
P01_GAMMA06_M016_00_A00,E52_a77602565c04dca5831f9b7a,162.71493459794277,668.0654740596533,1291.5967240596533,1913.9114407165948
P01_GAMMA06_M016_00_A00,E52_b4122a9095172602242b40e3,40.79157386206191,668.0654740596533,1291.5967240596533,2048.9057586363137
P01_GAMMA06_M016_00_A00,E52_b544b4d7beda1d6ed7fbeefb,164.15192669992615,668.0654740596533,1291.5967240596533,1916.0878570211871
P01_GAMMA06_M016_00_A00,E52_b7c433bb400c5a28313b13f0,187.43531197412443,668.0654740596533,1291.5967240596533,1882.8015089987791
P01_GAMMA06_M016_00_A00,E52_bfffb2993ede6e2e2bd9340b,57.21192249309513,668.0654740596533,1291.5967240596533,2028.4514922603262
P01_GAMMA06_M016_00_A00,E52_c76d93c5902d0dc017f7065c,197.20305601931904,668.0654740596533,1291.5967240596533,1870.1670644632688
P01_GAMMA06_M016_00_A00,E52_d1d4424e0dfaa7a0ce62d445,55.99037066326122,668.0654740596533,1291.5967240596533,2027.9762362288318
P01_GAMMA06_M016_00_A00,E52_d7f1f5d49edaa9f52000c452,60.30212583057107,668.0654740596533,1291.5967240596533,2022.7253992337226
P01_GAMMA06_M016_00_A00,E52_dbe1bedc9b83d29f34556dbd,70.20524494082724,668.0654740596533,1291.5967240596533,2010.5998972601037
P01_GAMMA06_M016_00_A00,E52_dc4c132291b7b9525a26c82f,201.65192669992615,668.0654740596533,1291.5967240596533,1866.0878570211871
P01_GAMMA06_M016_00_A00,E52_eab18c460278cfbad2c20da0,245.75071306905062,668.0654740596533,1291.5967240596533,1817.751264967655
P01_GAMMA06_M016_00_A00,E52_eb490529b308e18523949520,40.13271583732637,668.0654740596533,1291.5967240596533,2041.4148173141255
P01_GAMMA06_M016_00_A00,E52_eddf192c3626d88d236d26e4,216.33863225178442,668.0654740596533,1291.5967240596533,1852.0702608138113
P01_GAMMA06_M016_00_A00,E52_ede4029bd5e695a7a0c85289,72.80212583057107,668.0654740596533,1291.5967240596533,2006.0587325670558
