pareto_id,sortie_id,uav_id,time,phase,x,y,z,distance_to_G01,los,L_fspl,L_path,L_max,M_C,M_C_LOS,direct_available
P02,M002,U02,1394.3541659243085,descent,322599.4702332375,2549184.752413647,390.4304594771132,5342.230340304743,0,114.60867702447483,124.60867702447483,122.0,-2.6086770244748294,7.391322975525171,0
P02,M002,U02,1394.430396039199,descent,322588.47790473106,2549174.559680204,390.100757653041,5327.240086141279,0,114.58427023130189,124.58427023130189,122.0,-2.584270231301886,7.415729768698114,0
P02,M002,U02,1394.5066261540892,descent,322577.4855762247,2549164.3669467606,389.7710558289688,5312.249855335712,0,114.55979470149796,124.55979470149796,122.0,-2.559794701497964,7.440205298502036,0
P02,M002,U02,1394.5828562689794,descent,322566.4932477183,2549154.174213317,389.44135400489665,5297.259648086612,0,114.5352500470223,124.5352500470223,122.0,-2.535250047022302,7.464749952977698,0
P02,M002,U02,1394.6590863838699,descent,322555.50091921195,2549143.981479874,389.11165218082454,5282.26946459453,0,114.5106358765403,124.5106358765403,122.0,-2.510635876540306,7.489364123459694,0
P02,M002,U02,1394.73531649876,descent,322544.5085907056,2549133.788746431,388.78195035675236,5267.27930506261,0,114.48595179538717,124.48595179538717,122.0,-2.485951795387166,7.514048204612834,0
P02,M002,U02,1394.8115466136503,descent,322533.5162621992,2549123.5960129877,388.4522485326802,5252.2891696953675,0,114.46119740552791,124.46119740552791,122.0,-2.461197405527912,7.538802594472088,0
P02,M002,U02,1394.8877767285408,descent,322522.52393369284,2549113.4032795443,388.122546708608,5237.299058700611,0,114.43637230552208,124.43637230552208,122.0,-2.4363723055220845,7.5636276944779155,0
P02,M002,U02,1394.964006843431,descent,322511.5316051864,2549103.2105461014,387.79284488453584,5222.3089722884915,0,114.41147609048315,124.41147609048315,122.0,-2.4114760904831485,7.5885239095168515,0
P02,M002,U02,1395.0402369583212,descent,322500.53927668004,2549093.017812658,387.46314306046366,5207.318910670755,0,114.38650835203767,124.38650835203767,122.0,-2.3865083520376658,7.613491647962334,0
P02,M002,U02,1395.1164670732117,descent,322489.54694817367,2549082.8250792148,387.1334412363915,5192.328874062418,0,114.3614686782879,124.3614686782879,122.0,-2.361468678287906,7.638531321712094,0
P02,M002,U02,1395.1926971881019,descent,322478.5546196673,2549072.632345772,386.8037394123194,5177.338862681028,0,114.33635665376991,124.33635665376991,122.0,-2.3363566537699114,7.663643346230089,0
P02,M002,U02,1395.268927302992,descent,322467.5622911609,2549062.4396123285,386.4740375882472,5162.348876745706,0,114.31117185941055,124.31117185941055,122.0,-2.3111718594105497,7.68882814058945,0
P02,M002,U02,1395.3451574178825,descent,322456.56996265455,2549052.246878885,386.144335764175,5147.358916479077,0,114.2859138724888,124.2859138724888,122.0,-2.2859138724888055,7.7140861275111945,0
P02,M002,U02,1395.4213875327728,descent,322445.5776341481,2549042.0541454423,385.81463394010285,5132.36898210633,0,114.26058226659171,124.26058226659171,122.0,-2.2605822665917117,7.739417733408288,0
P02,M002,U02,1395.497617647663,descent,322434.58530564175,2549031.861411999,385.4849321160307,5117.379073854457,0,114.23517661156986,124.23517661156986,122.0,-2.2351766115698553,7.764823388430145,0
P02,M002,U02,1395.5738477625534,descent,322423.5929771354,2549021.6686785556,385.1552302919585,5102.389191953952,0,114.20969647349652,124.20969647349652,122.0,-2.209696473496521,7.790303526503479,0
P02,M002,U02,1395.6500778774437,descent,322412.600648629,2549011.4759451128,384.82552846788633,5087.399336638061,0,114.18414141462193,124.18414141462193,122.0,-2.1841414146219336,7.815858585378066,0
P02,M002,U02,1395.726307992334,descent,322401.60832012264,2549001.2832116694,384.4958266438142,5072.409508141837,0,114.15851099332663,124.15851099332663,122.0,-2.1585109933266295,7.8414890066733705,0
P02,M002,U02,1395.8025381072243,descent,322390.6159916163,2548991.090478226,384.16612481974204,5057.419706704071,0,114.13280476407891,124.13280476407891,122.0,-2.1328047640789123,7.867195235921088,0
P02,M002,U02,1395.8787682221146,descent,322379.62366310984,2548980.897744783,383.83642299566986,5042.429932566352,0,114.10702227738692,124.10702227738692,122.0,-2.1070222773869176,7.892977722613082,0
P02,M002,U02,1395.9549983370048,descent,322368.6313346035,2548970.70501134,383.5067211715977,5027.440185972321,0,114.08116307975016,124.08116307975016,122.0,-2.081163079750155,7.918836920249845,0
P02,M002,U02,1396.0312284518952,descent,322357.6390060971,2548960.5122778965,383.1770193475255,5012.450467169365,0,114.05522671361462,124.05522671361462,122.0,-2.0552267136146156,7.944773286385384,0
P02,M002,U02,1396.1074585667855,descent,322346.64667759073,2548950.3195444536,382.84731752345334,4997.460776407872,0,114.02921271732296,124.02921271732296,122.0,-2.029212717322963,7.970787282677037,0
P02,M002,U02,1396.1836886816757,descent,322335.65434908436,2548940.1268110103,382.51761569938117,4982.471113940296,0,114.00312062506366,124.00312062506366,122.0,-2.0031206250636586,7.996879374936341,0
P02,M002,U02,1396.2599187965661,descent,322324.662020578,2548929.934077567,382.187913875309,4967.4814800230915,0,113.9769499668243,123.9769499668243,122.0,-1.976949966824293,8.023050033175707,0
P02,M002,U02,1396.3361489114563,descent,322313.6696920716,2548919.741344124,381.8582120512368,4952.491874915814,0,113.95070026833933,123.95070026833933,122.0,-1.9507002683393324,8.049299731660668,0
P02,M002,U02,1396.4123790263466,descent,322302.6773635652,2548909.5486106807,381.5285102271647,4937.502298880174,0,113.92437105103684,123.92437105103684,122.0,-1.924371051036843,8.075628948963157,0
P02,M002,U02,1396.488609141237,descent,322291.6850350588,2548899.3558772374,381.1988084030925,4922.512752182155,0,113.89796183199,123.89796183199,122.0,-1.8979618319900027,8.102038168009997,0
P02,M002,U02,1396.5648392561272,descent,322280.69270655245,2548889.1631437945,380.86910657902035,4907.523235090857,0,113.87147212386192,123.87147212386192,122.0,-1.8714721238619205,8.12852787613808,0
P02,M002,U02,1396.6410693710175,descent,322269.7003780461,2548878.970410351,380.5394047549482,4892.533747877768,0,113.84490143485044,123.84490143485044,122.0,-1.844901434850442,8.155098565149558,0
P02,M002,U02,1396.717299485908,descent,322258.7080495397,2548868.777676908,380.209702930876,4877.54429081867,0,113.81824926863679,123.81824926863679,122.0,-1.8182492686367908,8.18175073136321,0
P02,M002,U02,1396.7935296007981,descent,322247.71572103334,2548858.584943465,379.88000110680383,4862.554864192737,0,113.79151512432843,123.79151512432843,122.0,-1.791515124328427,8.208484875671573,0
P02,M002,U02,1396.8697597156884,descent,322236.7233925269,2548848.3922100216,379.55029928273166,4847.565468281607,0,113.76469849640095,123.76469849640095,122.0,-1.7646984964009533,8.235301503599047,0
P02,M002,U02,1396.9459898305786,descent,322225.73106402054,2548838.1994765783,379.22059745865954,4832.576103371489,0,113.73779887464453,123.73779887464453,122.0,-1.7377988746445254,8.262201125355475,0
P02,M002,U02,1397.022219945469,descent,322214.73873551417,2548828.006743135,378.89089563458737,4817.586769751711,0,113.71081574410316,123.71081574410316,122.0,-1.710815744103158,8.289184255896842,0
P02,M002,U02,1397.0984500603593,descent,322203.7464070078,2548817.814009692,378.5611938105152,4802.597467715568,0,113.68374858501709,123.68374858501709,122.0,-1.683748585017085,8.316251414982915,0
P02,M002,U02,1397.1746801752495,descent,322192.7540785014,2548807.6212762487,378.231491986443,4787.608197559075,0,113.65659687276053,123.65659687276053,122.0,-1.656596872760531,8.343403127239469,0
P02,M002,U02,1397.25091029014,descent,322181.76174999506,2548797.4285428054,377.90179016237084,4772.618959582925,0,113.62936007778428,123.62936007778428,122.0,-1.629360077784284,8.370639922215716,0
P02,M002,U02,1397.3271404050301,descent,322170.7694214887,2548787.2358093625,377.57208833829867,4757.629754091591,0,113.60203766555219,123.60203766555219,122.0,-1.6020376655521886,8.397962334447811,0
