site_id,x_m,y_m,agl_m,lon,lat,ground_elevation_m,z_amsl_m,backhaul_distance_m,backhaul_los,backhaul_margin_db
E52_f168a6968e5e528202022f41,323760.0,2549880.0,150.0,109.27984576712916,23.04809639983705,317.7547912597656,467.7547912597656,6673.952333889429,False,-0.5418868452383379
E52_db4b2c8149beb80182ef2891,323760.0,2549880.0,100.0,109.27984576712916,23.04809639983705,317.7547912597656,417.7547912597656,6671.741472501926,False,-0.5390090183570777
E52_620ad8137b59434534c166f3,323760.0,2549880.0,50.0,109.27984576712916,23.04809639983705,317.7547912597656,367.7547912597656,6669.9047067237925,False,-0.5366174176915592
E52_a512d41ec92e0518a1666a35,323760.0,2550360.0,300.0,109.2797906966899,23.05243046349314,254.59646606445312,554.5964660644531,6999.005335343005,False,-0.9549513257581452
E52_b6f0a60160f5a1fa64056c85,323760.0,2550360.0,250.0,109.2797906966899,23.05243046349314,254.59646606445312,504.5964660644531,6996.276583837534,False,-0.9515642364714267
E52_41fb14ac68eb46a8a784498f,323760.0,2550360.0,200.0,109.2797906966899,23.05243046349314,254.59646606445312,454.5964660644531,6993.904230896142,False,-0.9486184566703173
E52_8d6225a30d47e99419c238df,323760.0,2550360.0,150.0,109.2797906966899,23.05243046349314,254.59646606445312,404.5964660644531,6991.888639297719,False,-0.9461148865884468
E52_0ff3a9db3faab6519f70890f,323760.0,2550360.0,100.0,109.2797906966899,23.05243046349314,254.59646606445312,354.5964660644531,6990.230117652355,False,-0.9440542924407396
E52_2c465e0302b38b6a8a0e0fb6,323760.0,2550360.0,50.0,109.2797906966899,23.05243046349314,254.59646606445312,304.5964660644531,6988.9289201656375,False,-0.9424373056436082
E52_b677873645e212a13901ede2,323880.0,2550000.0,300.0,109.28100283829768,23.049192651705386,308.689697265625,608.689697265625,6850.982005838581,True,9.230718628911887
E52_5e31724028d5ba08d67c5f86,323880.0,2550000.0,250.0,109.28100283829768,23.049192651705386,308.689697265625,558.689697265625,6847.799316174319,False,-0.7652453198477076
E52_b4a2aeebc44f3fae7364f323,323880.0,2550000.0,200.0,109.28100283829768,23.049192651705386,308.689697265625,508.689697265625,6844.9803874716035,False,-0.7616689964882113
E52_0dfbc02aff5347c7fb3ab6ec,323880.0,2550000.0,150.0,109.28100283829768,23.049192651705386,308.689697265625,458.689697265625,6842.525669308398,False,-0.7585535405098511
E52_6d9c99bda74a762dc38d4785,323880.0,2550000.0,100.0,109.28100283829768,23.049192651705386,308.689697265625,408.689697265625,6840.435553780021,False,-0.7558999463564362
E52_2658f7307408c477bdaf3bc8,323880.0,2550000.0,50.0,109.28100283829768,23.049192651705386,308.689697265625,358.689697265625,6838.710375187065,False,-0.7537090623609544
E52_7c4fd52a37debecf0aa5c0c5,323400.0,2549880.0,300.0,109.27633328761057,23.048058142704257,346.4230651855469,646.4230651855469,6415.948433906216,False,-0.1994421300286433
E52_4c9f48c6e6bc63805986a5b5,323400.0,2549880.0,250.0,109.27633328761057,23.048058142704257,346.4230651855469,596.4230651855469,6412.255609379984,False,-0.1944413571900725
E52_fa2efb443111ad773dc8c26d,323400.0,2549880.0,200.0,109.27633328761057,23.048058142704257,346.4230651855469,546.4230651855469,6408.950748250958,False,-0.18996351651409782
E52_0d1999c7d09829eab8b5d689,323400.0,2549880.0,150.0,109.27633328761057,23.048058142704257,346.4230651855469,496.4230651855469,6406.034450967928,False,-0.1860102326989903
E52_1e90fe133bc73d7ca5e07b6d,323400.0,2549880.0,100.0,109.27633328761057,23.048058142704257,346.4230651855469,446.4230651855469,6403.507248412342,False,-0.18258294337189795
E52_76f370b8f526061182a4e3fb,323400.0,2549880.0,50.0,109.27633328761057,23.048058142704257,346.4230651855469,396.4230651855469,6401.3696014174075,False,-0.17968289735452458
E52_ef43228f97b7bbdbcb4d0f14,323880.0,2550240.0,300.0,109.2809753217975,23.051359684865847,276.47186279296875,576.4718627929688,7006.992320952269,False,-0.9648576651372025
E52_a8a2922d9742aad1edbb0f76,323880.0,2550240.0,250.0,109.2809753217975,23.051359684865847,276.47186279296875,526.4718627929688,7004.11052165832,False,-0.9612846429047011
E52_4658587d2d9d1dc19897ee3e,323880.0,2550240.0,200.0,109.2809753217975,23.051359684865847,276.47186279296875,476.47186279296875,7001.5846073103685,False,-0.9581516583156002
E52_0b31ce8534b00c4423fd526c,323880.0,2550240.0,150.0,109.2809753217975,23.051359684865847,276.47186279296875,426.47186279296875,6999.414963198437,False,-0.9554596663094514
E52_2dedcdf898b553a47f752665,323880.0,2550240.0,100.0,109.2809753217975,23.051359684865847,276.47186279296875,376.47186279296875,6997.601920713045,False,-0.9532094886957623
E52_661eefe55cb2e1c314982541,323880.0,2550240.0,50.0,109.2809753217975,23.051359684865847,276.47186279296875,326.47186279296875,6996.1457570928005,False,-0.9514018133199755
E52_a8dc7a559655e8aa257ceba5,323400.0,2550360.0,300.0,109.27627810485548,23.052392198355033,317.68133544921875,617.6813354492188,6746.692399310234,False,-0.6360430322172022
E52_1905474552cadd85a56a8c51,323400.0,2550360.0,250.0,109.27627810485548,23.052392198355033,317.68133544921875,567.6813354492188,6743.393818943512,False,-0.6317953046437594
E52_6be99afaac3f6ce8183b18b3,323400.0,2550360.0,200.0,109.27627810485548,23.052392198355033,317.68133544921875,517.6813354492188,6740.464528785878,False,-0.628021386115222
E52_190d0a64efe6729e1a9f571f,323400.0,2550360.0,150.0,109.27627810485548,23.052392198355033,317.68133544921875,467.68133544921875,6737.905010481798,False,-0.6247225162158259
E52_874aa2ff1494a807376cd6c1,323400.0,2550360.0,100.0,109.27627810485548,23.052392198355033,317.68133544921875,417.68133544921875,6735.715685562359,False,-0.6218997805565039
E52_2e1e5d467d53a50d6039ffc2,323400.0,2550360.0,50.0,109.27627810485548,23.052392198355033,317.68133544921875,367.68133544921875,6733.896915099449,False,-0.619554109588492
E52_d5d0e7e4948d5ab6d7c7dadc,323280.0,2550120.0,300.0,109.27513485434343,23.050212399804806,336.63763427734375,636.6376342773438,6493.910305942202,False,-0.3043505511270155
E52_90e2d6d67d63284161ba8c49,323280.0,2550120.0,250.0,109.27513485434343,23.050212399804806,336.63763427734375,586.6376342773438,6490.337225306141,False,-0.29957008390603335
E52_1238d2cf779ea2bb3be0508e,323280.0,2550120.0,200.0,109.27513485434343,23.050212399804806,336.63763427734375,536.6376342773438,6487.147565360825,False,-0.295300375981455
E52_9ffacf76c12bbdd6c5d89f22,323280.0,2550120.0,150.0,109.27513485434343,23.050212399804806,336.63763427734375,486.63763427734375,6484.341891922352,False,-0.29154294005903125
E52_a3273ddb40a6954e5bc7fc7b,323280.0,2550120.0,100.0,109.27513485434343,23.050212399804806,336.63763427734375,436.63763427734375,6481.92070361181,False,-0.28829911022791066
E52_ef7a1074f5573378bf42b8c4,323280.0,2550120.0,50.0,109.27513485434343,23.050212399804806,336.63763427734375,386.63763427734375,6479.884431414165,False,-0.28557004038879086
E52_2adccb4b3e9577e14e29a3f9,323280.0,2550000.0,300.0,109.27514865897457,23.049128886482006,322.8714904785156,622.8714904785156,6409.108551948712,False,-0.19017738126089512
E52_03e7804401bf3b15be5d95e3,323280.0,2550000.0,250.0,109.27514865897457,23.049128886482006,322.8714904785156,572.8714904785156,6405.595622704752,False,-0.18541520867104566
E52_a477aec26e2dcc24e6d55952,323280.0,2550000.0,200.0,109.27514865897457,23.049128886482006,322.8714904785156,522.8714904785156,6402.471251990627,False,-0.18117757624531805
E52_63d4e219c7bda9aab48bc7b4,323280.0,2550000.0,150.0,109.27514865897457,23.049128886482006,322.8714904785156,472.8714904785156,6399.736008892755,False,-0.1774660256417775
E52_b6d4679ca51542e3146152b9,323280.0,2550000.0,100.0,109.27514865897457,23.049128886482006,322.8714904785156,422.8714904785156,6397.39039253278,False,-0.17428191001690152
E52_62a64febba290b250066afb9,323280.0,2550000.0,50.0,109.27514865897457,23.049128886482006,322.8714904785156,372.8714904785156,6395.4348316140995,False,-0.17162639238809163
E52_d30c2b75c92a28f99cefa5f6,323280.0,2550240.0,300.0,109.27512104887786,23.051295912971376,322.8653869628906,622.8653869628906,6577.789884337161,False,-0.41582476647964484
E52_2cdf51a1fb1fdeda944e6917,323280.0,2550240.0,250.0,109.27512104887786,23.051295912971376,322.8653869628906,572.8653869628906,6574.367134849711,False,-0.4113038920809373
E52_cc7aaf3bfd990c34904ffce5,323280.0,2550240.0,200.0,109.27512104887786,23.051295912971376,322.8653869628906,522.8653869628906,6571.323054385297,False,-0.4072811976380848
E52_900b7330f2cf6911fc1f3057,323280.0,2550240.0,150.0,109.27512104887786,23.051295912971376,322.8653869628906,472.8653869628906,6568.658169398026,False,-0.403758072784143
E52_838553f281e3454bea9c5142,323280.0,2550240.0,100.0,109.27512104887786,23.051295912971376,322.8653869628906,422.8653869628906,6566.372941563945,False,-0.4007357370473983
E52_e392cb8c1e584233d3cbcaff,323280.0,2550240.0,50.0,109.27512104887786,23.051295912971376,322.8653869628906,372.8653869628906,6564.467767382733,False,-0.39821523844989315
E52_ccbee1ae11be2ab27197ec1f,323640.0,2549760.0,300.0,109.27868871467778,23.04700014048346,295.1930236816406,595.1930236816406,6512.512298195251,True,9.670804037210758
E52_9a590714b2b66acf5d99b3da,323640.0,2549760.0,250.0,109.27868871467778,23.04700014048346,295.1930236816406,545.1930236816406,6509.267787683668,False,-0.32486760512531987
E52_174a3a506ae269e2f1377c05,323640.0,2549760.0,200.0,109.27868871467778,23.04700014048346,295.1930236816406,495.1930236816406,6506.405907212373,False,-0.32104790605873745
E52_4a7e0e34062823fc861015f9,323640.0,2549760.0,150.0,109.27868871467778,23.04700014048346,295.1930236816406,445.1930236816406,6503.927161879959,False,-0.31773821236460265
E52_ac75465bb00594d0b6dc59f8,323640.0,2549760.0,100.0,109.27868871467778,23.04700014048346,295.1930236816406,395.1930236816406,6501.831989883446,False,-0.3149396932348054
E52_2143eef0fbc9423c07b24c13,323640.0,2549760.0,50.0,109.27868871467778,23.04700014048346,295.1930236816406,345.1930236816406,6500.120762132314,False,-0.312653338906145
E52_4513f74e4ba51c209cccc792,323520.0,2549760.0,300.0,109.27751789752963,23.04698738877293,313.8280029296875,613.8280029296875,6423.031219868683,True,9.790974506635663
E52_84fa3521b9fb5ef47572f2fc,323520.0,2549760.0,250.0,109.27751789752963,23.04698738877293,313.8280029296875,563.8280029296875,6419.596346431356,False,-0.2043792584478865
